cinturon,dimension,indicador,estado_calculo,valor,unidad,fecha_dato,obtenido_en,antiguedad_dias,tope_dias,demora_por_umbral,cache,peso_interno,peso_efectivo,puntaje_aplicado,color,fuente,verificacion_externa_individual
macro,estabilidad_monetaria,ipc_total,observado,2.11,% mensual,2026-07-01,2026-09-08T03:01:07,69,110,False,False,0.6,0.156,72.8,verde,INDEC — IPC nacional (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
macro,estabilidad_monetaria,rem_ipc_12m,observado,21.0,% anual esperado,2026-08-31,2026-09-08T03:01:42,8,110,False,False,0.2,0.052,83.0,verde,"BCRA — REM, expectativas de inflación (API monetarias)",Ver matriz de contraste; no inferida de tests
macro,estabilidad_monetaria,desequilibrio_monetario,observado,58.27,pts de tensión (0-100),2026-07-01,2026-09-08T03:02:03,69,110,False,False,0.2,0.052,41.7,amarillo,"BCRA (M2 transaccional privado, circulante, depósitos privados en pesos y en dólares, y Mercado de Cambios)",Ver matriz de contraste; no inferida de tests
macro,viabilidad_fiscal_comercial,resultado_primario,observado,5.96,% de la recaudación (acum. 12 meses),2026-07-01,2026-09-08T03:02:14,69,110,False,False,0.5,0.12,84.8,verde,Sec. de Hacienda — IMIG (resultado primario) + recaudación (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
macro,viabilidad_fiscal_comercial,recaudacion,observado,102.1,índice (100 = 4T-2023),2026-07-01,2026-09-08T13:27:30.091527-03:00,69,110,False,False,0.3,0.072,77.7,verde,Sec. Hacienda — recaudación DGI (vía datos.gob.ar) + Comisión Arbitral del Convenio Multilateral,Ver matriz de contraste; no inferida de tests
macro,viabilidad_fiscal_comercial,saldo_comercial_12m,observado,23731.0,Millones de USD (acum. 12 meses),2026-07-01,2026-09-08T12:03:15.521514,69,110,False,False,0.2,0.048,85.0,verde,"INDEC — ICA, cuadro original vigente + historia datos.gob.ar",Ver matriz de contraste; no inferida de tests
macro,financiamiento,reservas_bcra,observado,11962.0,Millones de USD,2026-07-31,2026-09-08T03:01:17,39,110,False,False,0.34,0.0544,67.8,verde,BCRA — Planilla SDDS y Balance Consolidado,Ver matriz de contraste; no inferida de tests
macro,financiamiento,idc,observado,-0.33,σ vs. su historia,2026-07-01,2026-09-08T03:01:21,69,110,False,False,0.21,0.0336,49.0,amarillo,"BCRA — BADLAR (var. 7), depósitos privados (var. 100) y préstamos privados (var. 117) + IPC INDEC",Ver matriz de contraste; no inferida de tests
macro,financiamiento,costo_financiamiento_tesoro,observado,7.25,% real anual (TIREA vs. inflación esperada REM),2026-08-01,2026-09-08T14:25:13,38,110,False,False,0.25,0.04,82.3,verde,Sec. de Finanzas — colocaciones de deuda + BCRA (REM),Ver matriz de contraste; no inferida de tests
macro,financiamiento,credito_privado,observado,-0.6,% i.a. real (crédito en pesos),2026-07-01,2026-09-08T03:02:11,69,110,False,False,0.2,0.032,34.8,naranja,"BCRA (préstamos al sector privado en pesos, var. 117) + IPC INDEC",Ver matriz de contraste; no inferida de tests
macro,actividad,emae_ia,observado,2.69,% i.a.,2026-06-01,2026-09-08T03:01:23,99,140,False,False,0.6,0.066,69.5,verde,INDEC — EMAE (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
macro,actividad,emae_difusion,observado,80.0,% de sectores en crecimiento i.a.,2026-06-01,2026-09-08T03:01:30,99,110,False,False,0.2,0.022,80.0,verde,INDEC — EMAE apertura sectorial (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
