cinturon,indicador,fecha_dato,estado_verificacion,evidencia,documento
macro,ipc_total,2026-07-01,comprobado,Fuente oficial reproduce 2.11 al 2026-07-01. API y publicación INDEC julio; calendario anuncia agosto para el 10-sep.,cotejo-macro-fuentes.json
macro,reservas_bcra,2026-07-31,comprobado,Planilla oficial inglesa y calendario confirman julio vigente; insumos SDDS y Tesoro conciliados reproducen 11962. Es estimación CIGOB con exclusiones declaradas; no reservas netas oficiales ni disponibilidad líquida.,cierre-reservas-julio.md
macro,idc,2026-07-01,comprobado,Fuente oficial reproduce -0.33 al 2026-07-01. Tres variables BCRA y último IPC cerrado; réplica de la ventana y los componentes.,cotejo-macro-fuentes.json
macro,emae_ia,2026-06-01,comprobado,"Informe INDEC junio, publicado 20-ago: +2,7% interanual redondeado y doce de quince sectores en alza (80%). Calendario anuncia julio para 24-sep. API y original conciliados.",cotejo-emae-publicacion.json
macro,emae_difusion,2026-06-01,comprobado,"Informe INDEC junio, publicado 20-ago: +2,7% interanual redondeado y doce de quince sectores en alza (80%). Calendario anuncia julio para 24-sep. API y original conciliados.",cotejo-emae-publicacion.json
macro,ipi_manufacturero,2026-07-01,comprobado,"Planilla original vigente de INDEC julio, con revisiones históricas; lector compartido entre tarjeta e historia. IPI promedio interanual 3 meses −2,82%; ISAC desestacionalizado 140,16334796.",industria-construccion-julio-pendiente.md; cotejo-ipi-isac-julio.json
macro,saldo_comercial_12m,2026-07-01,comprobado,ICA julio: suma de doce meses y comprobación anual menos acumulado previo más acumulado actual.,evidencia-fuentes.json
macro,recaudacion,2026-07-01,comprobado,"Subtotal DGI del cuadro original ARCA julio conciliado con API; COMARB conciliado previamente; reconstrucción independiente de 55 meses, factores y base 4T2023 da 102.1. Julio es último mes con IPC. Vencimientos excepcionales limitan la lectura económica.",cotejo-recaudacion-original.json
macro,tcrm,2026-08-01,comprobado,"Fuente oficial reproduce 85.51 al 2026-08-01. Promedio mensual de la planilla BCRA, agosto completo.",cotejo-macro-fuentes.json
macro,rem_ipc_12m,2026-08-31,comprobado,Fuente oficial reproduce 21.0 al 2026-08-31. Última observación de la variable 29 de la API monetaria BCRA.,cotejo-macro-fuentes.json
macro,desequilibrio_monetario,2026-07-01,comprobado,"Anexo XLSX enlazado por portal BCRA vigente, concepto 03 hasta julio, sumado por sector excluyendo sector público. Cuatro variables monetarias al 31-jul: A 32,9155; B 3152,0174; tensión 58,2702. Compra no equivale a fuga.",cotejo-desequilibrio-insumos.json
macro,iai,2026-07-01,comprobado,"Original INDEC de bienes de capital cotejado con Cuadro 14 del ICA. Tarjeta e historia integradas: julio −5,66%; 96 meses conservados. Se corrige también la omisión del IAI en la reconstrucción macro (ADR-0301).",cotejo-iai-integrado.json; ../../adr/0300-iai-completa-bienes-de-capital-originales.md; ../../adr/0301-historia-macro-deriva-componentes-del-motor.md
macro,credito_privado,2026-07-01,comprobado,"Fuente oficial reproduce -0.6 al 2026-07-01. Último mes común con IPC: julio, confirmado por calendario INDEC.",cotejo-macro-fuentes.json
